...1,1990,2000,2012,...5,2013,2014,2015,2016,2017,2018,2019,2020,2021
,"48,881,177,965.6","72,909,498,600.0","297,251,899,034.1",,"303,328,059,828.8","296,585,318,554.7","240,390,270,340.3","228,099,684,351.9","260,057,115,696.8","283,606,020,540.7","271,645,379,047.0","226,009,110,308.1",..
,"32,941,353,363.1","45,650,583,083.7","197,858,775,578.3",,"199,829,351,189.8","183,594,753,379.2","130,063,321,469.2","119,244,443,908.6","144,880,678,807.6","171,571,767,516.8","182,344,448,240.9","144,301,504,587.5",..
El mundo árabe,..,..,..,,..,..,..,..,..,..,..,..,..
Estados pequeos del Caribe,"9,948,764,114.5","16,597,373,984.5","37,127,779,477.4",,"37,800,741,949.6","36,238,789,937.4","32,068,783,732.7","29,173,969,698.7","31,558,965,248.4","35,226,679,281.7","34,521,032,641.5","22,565,439,455.3",..
Europa Central y del Báltico,..,"177,493,503,118.8","852,305,540,321.0",,"911,809,104,469.5","956,709,494,617.4","847,276,974,622.0","882,329,254,166.5","1,003,368,380,234.8","1,119,626,537,980.3","1,125,333,880,015.1","1,070,995,418,772.3",..
inicial del dividendo demográfico,"399,218,206,125.8","876,849,524,447.0","2,932,670,981,930.9",,"2,957,911,187,441.1","2,929,987,682,883.9","2,489,917,620,740.4","2,426,334,034,510.4","2,746,481,230,460.9","3,064,811,690,676.0","3,073,510,607,126.0","2,585,875,359,654.2",..
Asia oriental y el Pacífico,"847,673,875,495.5","2,156,110,822,967.6","7,507,078,263,802.2",,"7,748,892,076,204.1","8,022,358,356,138.9","7,460,408,161,534.0","7,278,675,315,668.1","8,110,050,905,812.7","8,779,213,483,963.2","8,664,312,304,876.7","8,219,717,866,436.6",..
Asia oriental y el Pacífico (excluido altos ingresos),"176,540,868,403.5","534,278,371,302.2","3,347,225,947,937.9",,"3,565,014,083,398.8","3,758,278,637,163.8","3,569,347,718,715.8","3,423,611,840,520.2","3,859,319,634,788.4","4,174,468,858,516.4","4,171,800,742,186.9","4,106,258,756,249.6",..
Asia oriental y el Pacífico (BIRF y la AIF),"176,298,026,010.9","533,543,439,843.4","3,342,572,300,805.2",,"3,560,069,774,825.6","3,753,072,635,763.6","3,564,402,105,833.4","3,418,895,573,634.6","3,853,932,651,288.5","4,168,622,171,529.5","4,165,957,792,116.4","4,100,507,603,121.2",..
Zona del Euro,"1,824,613,522,526.5","2,712,525,147,408.3","6,979,816,247,354.7",,"7,303,393,588,109.7","7,571,087,889,150.7","6,739,410,312,463.4","6,864,208,057,988.6","7,463,811,898,142.5","8,270,098,554,508.8","8,060,344,571,889.4","7,354,075,201,860.4",..
Europa y Asia central,"2,709,968,446,232.3","4,230,333,896,815.8","11,283,751,684,050.5",,"11,718,314,225,930.9","12,009,517,132,529.1","10,538,413,296,897.8","10,552,770,431,400.5","11,586,839,544,659.4","12,882,755,068,743.5","12,636,009,039,220.0","11,351,592,696,293.8",..
Europa y Asia central (excluido altos ingresos),..,"244,347,866,370.6","1,314,799,834,340.2",,"1,344,951,468,578.9","1,309,571,055,157.3","1,001,867,194,822.7","927,514,380,983.2","1,098,309,164,652.2","1,282,098,630,679.5","1,273,214,126,440.8","1,056,708,697,942.3",..
Europa y Asia central (BIRF y la AIF),..,"301,489,645,509.4","1,573,883,363,193.6",,"1,623,705,673,161.7","1,606,932,224,224.8","1,273,117,924,636.4","1,210,458,920,600.3","1,427,197,249,906.4","1,655,052,734,863.3","1,653,905,574,466.9","1,434,580,684,640.4",..
Unión Europea,"2,019,895,072,088.8","3,069,631,773,279.7","8,149,604,057,218.5",,"8,537,740,853,579.5","8,854,544,442,778.8","7,867,360,732,910.7","8,015,860,779,972.6","8,752,304,732,339.3","9,693,795,157,577.4","9,498,711,327,019.6","8,720,234,952,191.8",..
Frágiles y situaciones de conflicto afectados,..,..,"538,933,391,860.0",,"515,527,581,373.0","455,494,117,552.2","301,911,864,693.5","259,734,452,641.4","328,140,761,460.4","417,354,129,969.2","418,100,200,112.2","277,333,763,277.0",..
Países pobres muy endeudados (PPME),"24,432,515,976.5","36,597,391,570.0","161,840,488,522.8",,"168,227,313,546.3","172,133,680,529.7","148,812,738,179.8","148,211,792,262.9","167,127,163,234.1","183,533,587,589.1","187,348,803,563.9","176,927,436,771.8",..
Ingreso alto,"4,598,982,565,358.9","8,011,417,347,540.0","19,538,762,863,232.4",,"20,077,985,218,978.6","20,582,509,164,857.1","18,470,305,369,809.4","18,445,300,622,063.6","20,202,688,649,260.1","22,202,852,018,792.6","21,821,161,206,322.9","19,457,151,723,101.5",..
Sólo BIRF,"616,875,600,973.9","1,503,418,261,313.1","7,324,894,069,158.3",,"7,590,044,891,906.0","7,714,274,727,326.5","6,819,759,638,640.2","6,561,781,425,579.8","7,491,429,231,568.9","8,254,550,341,354.4","8,241,318,893,540.0","7,581,017,220,214.5",..
BIRF y la AIF,"680,061,118,641.5","1,604,068,337,955.3","7,734,636,972,143.4",,"8,017,545,371,066.9","8,138,168,052,219.5","7,175,667,236,942.5","6,904,694,770,607.1","7,882,624,867,723.2","8,697,523,717,226.4","8,702,982,591,728.7","7,971,375,976,657.3",..
mezcla de la AIF,"34,086,126,657.7","48,862,836,305.1","194,906,601,436.7",,"193,861,437,828.5","182,821,311,053.1","134,946,161,434.0","119,305,391,520.4","141,683,126,395.3","165,381,790,335.2","173,690,844,013.8","123,228,140,761.4",..
Sólo AIF,"29,897,945,276.3","54,142,784,361.4","213,969,315,069.2",,"233,250,684,308.1","241,040,516,479.6","221,505,622,293.7","224,490,831,870.9","250,527,630,844.2","278,916,355,620.7","290,427,416,539.3","266,555,073,986.5",..
total de la AIF,"64,143,838,159.7","101,649,260,575.5","409,973,244,577.1",,"427,774,465,314.7","424,043,815,916.5","355,987,333,491.9","342,991,182,897.9","391,280,292,853.0","443,233,557,020.1","462,962,000,876.3","388,217,705,130.6",..
avanzada del dividendo demográfico,"414,997,498,705.8","1,061,175,107,030.6","6,098,379,126,081.8",,"6,411,464,503,245.3","6,618,522,377,770.5","5,969,005,997,479.3","5,723,183,977,172.5","6,528,167,311,211.8","7,242,459,485,273.0","7,239,098,033,478.8","6,923,213,898,979.3",..
América Latina y el Caribe,"188,415,066,632.5","486,671,682,422.8","1,427,846,140,834.4",,"1,429,131,919,598.9","1,397,663,156,335.9","1,208,487,458,021.7","1,198,092,624,668.0","1,345,586,182,370.9","1,449,474,463,456.1","1,459,143,283,774.4","1,255,595,075,233.7",..
América Latina y el Caribe (excluido altos ingresos),"133,477,846,995.6","371,717,282,458.6","1,072,587,608,162.2",,"1,083,145,545,848.0","1,072,968,904,249.7","957,751,352,044.7","958,349,984,363.1","1,079,274,584,987.7","1,161,308,342,431.6","1,176,073,959,663.6","1,008,416,890,441.2",..
América Latina y el Caribe (BIRF y la AIF),"170,293,003,314.0","442,771,020,161.5","1,307,382,111,112.6",,"1,309,399,195,405.4","1,280,289,679,625.4","1,105,346,847,104.0","1,089,715,478,886.9","1,225,857,096,340.4","1,318,417,131,329.6","1,326,519,527,954.7","1,146,083,503,492.2",..
Países menos desarrollados: clasificación de las Naciones Unidas,"23,113,274,741.2","44,434,179,313.6","232,715,469,034.6",,"249,424,465,548.2","246,781,465,359.9","201,264,580,244.7","196,939,287,403.5","223,551,362,487.1","254,704,057,628.2","254,872,138,259.1","222,919,346,579.9",..
Ingreso mediano y bajo,"617,144,889,698.8","1,476,325,869,358.4","7,245,600,689,175.9",,"7,518,327,598,710.8","7,640,466,992,509.2","6,764,516,981,813.8","6,497,956,271,589.9","7,415,358,921,215.8","8,175,778,737,990.1","8,180,762,915,945.3","7,462,235,586,887.3",..
Países de ingreso bajo,..,..,"82,253,243,214.8",,"88,813,630,579.2","91,192,173,918.6","70,176,004,835.3","69,916,045,193.4","81,609,288,199.1","93,789,364,474.7","93,355,405,591.6","92,689,439,304.6",..
Países de ingreso mediano bajo,"196,123,432,083.9","391,886,885,669.3","1,690,052,125,120.2",,"1,730,452,543,698.4","1,741,040,225,473.7","1,513,480,196,216.0","1,502,392,334,016.4","1,740,056,434,882.0","1,939,708,625,791.5","1,984,077,160,438.8","1,739,782,028,345.2",..
Oriente Medio y Norte de África,..,..,..,,..,..,..,..,..,..,..,..,..
Oriente Medio y Norte de África (excluido altos ingresos),..,..,"556,164,680,487.5",,"517,738,662,798.1","475,332,128,956.3","345,225,025,078.7","309,893,256,193.7","385,496,064,421.2","473,804,092,651.6","465,501,282,284.6","316,144,009,773.6",..
Oriente Medio y Norte de África (BIRF y la AIF),..,..,"554,040,771,313.7",,"514,694,569,098.3","471,502,675,574.4","340,661,208,432.6","304,967,149,163.5","379,921,166,975.8","467,507,597,929.1","458,766,861,325.5","309,928,001,414.2",..
Ingreso mediano,"603,386,368,620.9","1,456,724,567,963.4","7,167,446,049,835.2",,"7,434,566,910,414.4","7,554,625,945,646.7","6,697,085,508,280.2","6,431,147,681,155.0","7,337,662,756,236.9","8,087,071,255,417.4","8,092,392,798,088.9","7,375,633,454,811.6",..
América del Norte,"872,656,172,604.4","1,804,255,192,602.8","3,670,277,270,010.8",,"3,762,008,354,357.1","3,892,984,372,350.2","3,676,820,822,304.2","3,654,962,650,261.2","4,000,163,447,834.5","4,311,803,745,014.9","4,330,453,214,494.9","3,677,835,649,194.9",..
No clasificado,..,..,..,,..,..,..,..,..,..,..,..,..
Miembros OCDE,"4,055,941,795,474.2","7,104,624,248,764.0","16,751,866,753,584.0",,"17,224,374,797,828.6","17,749,514,975,591.7","16,037,592,206,121.5","16,121,250,641,505.5","17,602,328,184,103.5","19,279,942,627,449.0","19,029,602,445,635.9","16,933,021,875,407.5",..
Otros Estados pequeos,..,..,"357,159,995,179.3",,"376,191,159,904.1","375,620,361,181.5","304,741,922,606.1","263,180,360,880.9","309,593,951,384.8","346,465,874,039.2","321,390,341,440.1","267,525,464,250.0",..
Estados pequeos de las Islas del Pacfico,"1,383,151,554.0","1,686,799,192.5","4,608,170,261.4",,"4,643,826,736.2","4,819,515,634.0","4,359,178,219.7","4,512,290,823.7","4,836,853,528.3","5,262,118,946.3","5,204,807,568.3","2,850,121,811.0",..
posterior al dividendo demográfico,"4,114,274,953,734.8","7,082,843,429,115.7","16,815,484,129,982.9",,"17,287,351,625,983.4","17,734,381,438,280.0","15,976,632,904,912.3","16,019,184,007,168.9","17,481,354,019,355.0","19,122,530,324,111.6","18,770,375,913,616.8","16,620,908,184,410.4",..
previa al dividendo demográfico,..,..,"413,777,930,843.1",,"412,837,754,014.1","385,615,254,693.9","261,636,412,362.0","232,390,555,852.2","285,234,277,706.7","353,405,488,777.6","349,665,196,411.4","251,984,514,935.6",..
Pequeños Estados,..,..,"398,913,237,432.8",,"418,560,371,626.1","416,521,796,512.3","341,195,415,500.2","297,045,987,385.6","346,194,401,876.2","387,180,527,103.2","361,518,770,722.0","292,617,711,392.2",..
Asia meridional,"35,664,302,317.6","88,809,187,462.5","535,083,972,414.6",,"564,721,244,294.7","588,309,558,714.9","532,892,398,447.2","536,576,061,067.1","605,210,518,129.2","664,626,573,873.8","675,225,827,262.5","593,670,833,947.5",..
Asia meridional (BIRF y la AIF),"35,664,302,317.6","88,809,187,462.5","535,083,972,414.6",,"564,721,244,294.7","588,309,558,714.9","532,892,398,447.2","536,576,061,067.1","605,210,518,129.2","664,626,573,873.8","675,225,827,262.5","593,670,833,947.5",..
África al sur del Sahara,"82,268,914,587.9","118,629,273,856.6","495,044,533,179.7",,"503,168,170,125.3","480,635,553,799.3","371,682,450,896.6","348,824,873,375.0","405,700,100,732.3","454,601,914,424.1","451,152,013,730.6","368,906,862,768.6",..
África al sur del Sahara (excluido altos ingresos),"82,028,421,428.2","118,111,125,731.2","493,669,056,354.4",,"501,649,336,662.4","479,224,825,426.9","370,340,155,263.5","347,424,677,155.4","404,084,108,220.6","452,862,401,696.3","449,485,786,079.6","367,783,207,808.5",..
África al sur del Sahara (BIRF y la AIF),"82,268,914,587.9","118,629,273,856.6","495,044,533,179.7",,"503,168,170,125.3","480,635,553,799.3","371,682,450,896.6","348,824,873,375.0","405,700,100,732.3","454,601,914,424.1","451,152,013,730.6","368,906,862,768.6",..
Ingreso mediano alto,"411,714,900,577.5","1,073,504,194,684.7","5,489,541,203,775.5",,"5,715,411,177,834.9","5,824,063,465,343.9","5,191,173,622,150.2","4,938,799,864,782.1","5,610,613,459,833.2","6,163,008,753,703.2","6,126,910,566,155.0","5,647,789,173,952.3",..
Mundo,"5,196,879,006,646.4","9,489,934,525,663.4","26,858,700,608,802.8",,"27,661,720,437,329.8","28,271,882,582,672.7","25,245,934,148,828.5","24,940,938,852,213.7","27,618,943,030,298.1","30,379,917,404,212.1","30,004,806,609,379.9","26,923,098,273,929.5",..
Afganistán,..,..,"2,480,275,796.6",,"1,584,641,700.7","2,177,473,479.0","1,704,288,648.8","1,375,850,797.5","1,452,434,678.5","1,898,906,244.7","1,868,568,055.7","1,716,706,830.9",..
Albania,"353,600,000.0","670,400,000.0","3,797,531,105.8",,"4,070,992,798.3","4,178,282,911.3","3,519,547,545.6","3,892,417,842.2","4,605,004,261.4","5,247,401,479.0","5,292,424,070.6","3,846,951,283.9",..
Argelia,"13,534,902,284.0",..,"79,094,592,945.1",,"72,135,098,775.6","66,846,165,650.1","40,102,767,889.9","35,171,643,986.5","39,939,802,620.6","45,538,830,402.2","39,593,857,128.5","25,749,299,404.0",..
Samoa Americana,..,..,..,,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,,..,..,..,..,..,..,"2,906,978,116.3",..,..
Angola,"4,003,000,000.0","8,222,360,000.0","72,133,100,315.1",,"70,380,501,721.5","61,496,795,044.7","34,603,647,353.0","28,640,556,800.6","35,837,464,384.8","41,837,360,214.5","35,872,743,552.8","21,540,234,145.7",..
Antigua y Barbuda,"347,788,888.9","482,383,391.1","552,059,917.0",,"539,821,383.0","1,041,903,110.4","1,037,401,064.5","1,061,470,956.1","1,004,613,762.2","1,060,265,101.4","1,228,000,888.7","606,624,771.9",..
Argentina,"16,654,000,000.0","38,657,070,742.9","96,586,241,540.7",,"92,034,825,145.2","84,398,577,454.3","72,381,928,419.4","74,209,111,524.7","78,184,715,522.6","83,420,042,594.2","86,248,889,754.6","68,384,365,112.2",..
Armenia,..,"557,854,584.7","4,032,591,598.9",,"4,414,406,842.4","4,531,263,614.3","4,022,283,900.0","4,410,099,823.5","5,426,503,533.8","5,851,796,184.0","6,657,178,751.8","4,222,675,789.7",..
Aruba,"581,284,916.2","1,868,603,352.0","3,187,206,703.9",,"2,199,751,840.2","2,344,987,256.4","2,486,117,679.9","2,396,465,857.1","2,363,776,588.9","2,620,564,226.4","2,651,804,815.0","1,533,205,653.6",..
Australia,"54,113,174,389.6","94,027,773,391.6","359,590,135,498.0",,"356,407,493,640.8","346,478,907,204.5","282,519,159,318.6","290,429,662,828.2","339,618,375,891.2","376,332,641,286.5","392,373,826,256.9","345,459,840,245.6",..
Austria,..,..,"261,172,432,578.6",,"256,742,162,239.2","266,421,672,218.1","219,961,504,370.7","238,140,109,683.9","252,880,519,875.8","281,890,142,912.4","279,027,125,315.7","244,601,554,209.9",..
Azerbaiyán,..,"2,174,015,000.0","37,837,472,000.0",,"36,941,498,000.0","34,230,672,000.0","21,288,283,000.0","18,499,727,000.0","21,125,504,000.0","27,115,308,000.0","25,219,210,260.0","17,064,300,000.0",..
Bahamas,"2,015,700,000.0","2,754,920,000.0","3,725,090,600.0",,"3,674,164,000.0","3,613,851,248.3","3,460,395,303.2","3,926,984,119.0","3,810,619,827.1","4,793,336,461.7","5,195,613,316.1","1,681,848,099.7",..
Bahrein,"9,615,957,446.8","13,504,024,037.2","33,454,032,807.2",,"36,174,962,300.5","34,205,194,235.4","27,888,067,760.4","26,046,276,595.7","28,844,946,808.5","32,515,691,489.4",..,..,..
Bangladesh,"2,128,166,694.5","7,292,611,567.7","27,768,035,486.6",,"31,767,533,486.4","33,138,217,973.2","35,107,953,649.5","37,756,801,960.7","39,281,430,149.4","44,518,232,859.6","45,143,332,661.7","38,693,585,662.6","49,824,250,545.5"
Barbados,"893,619,186.2","1,487,323,634.5","2,328,722,276.5",,"2,640,905,236.6","2,415,767,927.3","2,638,571,003.6","2,646,456,506.8",..,..,..,..,..
Belarús,..,"7,073,500,000.0","52,802,700,000.0",,"44,904,700,000.0","44,203,300,000.0","33,405,500,000.0","30,599,500,000.0","37,438,900,000.0","43,451,100,000.0","43,144,600,000.0","38,034,100,000.0","50,082,678,337.7"
Bélgica,..,..,"487,326,710,222.6",,"507,130,612,195.9","519,173,202,867.7","426,807,937,353.8","446,858,659,498.1","482,831,761,498.8","527,390,240,426.2","515,141,556,040.9","483,946,001,580.7",..
Belice,"255,150,000.0","430,609,975.6","1,039,521,955.1",,"1,062,177,961.8","1,091,434,215.4","1,040,919,494.9","975,774,627.3","1,037,843,639.4","1,080,804,896.5","1,112,434,207.7","722,213,182.6",..
Benin,"376,084,255.2","553,226,115.0","1,968,654,630.8",,"2,651,294,851.7","3,202,965,311.7","2,833,169,921.6","3,300,303,693.2","3,433,172,991.5","3,954,426,852.1","3,708,936,175.1","3,718,479,448.1",..
Bermudas,..,..,"3,120,840,151.7",,"3,728,541,596.6","3,225,101,912.1","3,195,210,148.9","3,254,026,689.0","3,476,883,151.5","3,540,611,310.4","3,657,511,972.0","3,067,388,857.6",..
Bhután,..,..,"746,446,088.7",,"685,401,498.1","678,569,468.5","748,140,243.5","666,802,935.8","746,384,595.1","821,097,545.9","814,917,182.8","816,188,649.8",..
Bolivia,"995,500,000.0","1,609,734,096.0","12,399,420,637.2",,"12,923,354,978.1","14,100,527,390.8","10,038,518,414.7","8,412,909,193.5","9,769,881,367.7","10,580,229,224.5","10,405,339,364.0","7,674,226,370.2",..
Bosnia y Herzegovina,..,"2,246,587,544.1","6,139,805,758.4",,"6,719,878,400.9","6,955,732,838.6","6,286,388,254.7","6,675,416,146.0","7,992,867,250.8","9,211,900,401.9","8,841,545,761.8","7,366,885,306.1",..
Botswana,"2,421,060,316.9","3,377,990,131.8","6,688,489,625.7",,"9,009,299,048.1","9,730,746,752.0","7,430,892,778.2","8,446,438,384.0","7,168,513,757.0","7,774,439,041.7","6,504,266,778.0","4,833,297,452.6",..
Brasil,"36,327,000,000.0","67,980,082,347.8","290,087,357,671.0",,"292,505,984,908.0","271,696,127,797.3","225,957,326,512.0","230,332,955,953.9","275,688,753,195.2","288,125,977,743.0","285,203,736,607.4","259,380,725,858.5","346,966,590,598.0"
Islas Vírgenes Británicas,..,..,..,,..,..,..,..,..,..,..,..,..
Brunei Darussalam,..,..,"14,338,783,603.4",,"13,324,521,260.3","12,679,477,494.0","7,869,854,054.6","6,418,974,173.2","7,086,499,766.4","8,039,962,735.8","8,855,694,135.6","7,805,639,830.4",..
